listElement,isInstruction
Season to taste with kosher salt. Keep warm until ready to serve.,1
"Combine the allspice berries and peppercorns in a mortar, or spice grinder, and grind with a pestle until finely ground.",1
Add the remaining ingredients and the ground spices into the base of a food processor. Process until a mostly homogenous mixture forms. Reserve until ready to use.,1
"If necessary, trim off any pieces of fat on the beef. Transfer the meat to the freezer for 30-45 minutes or until firm but not frozen.�",1
"Combine the jerk marinade, soy sauce, and liquid smoke in a large bowl or gallon bag.�",1
Slice the beef across in the grain (for more tender jerky) or with the grain (for chewier jerky) into strips about � inch thick using a large sharp knife of deli slicer.�,1
Add the beef strips to the marinade and fold to combine. Cover the bowl or seal the bag and refrigerate for at least 4 hours or up to 24 hours.,1
"When ready to cook, set a dehydrator to 160 �F. Remove the pieces of beef from the marinade and pat try using paper towels. Transfer the beef to the dehydrator racks, making sure none of the pieces are overlapping.�",1
"Transfer the racks to the dehydrator and let the strips book for 3 -5 hours. The jerky is ready when it is dry, but still flexible and not cracking.�",1
Make a cut all the way around the circumference on the drumstick about 1 � - 2 inches from the end of the bone. Make sure to slice all the way through the meat and tendon to the bone.,1
"Using a paring knife, scrape the remaining skin and/or meat from the end of the bone. Push the rest of the meat towards the base of the drumstick. Trim the excess tendons with kitchen shears.�",1
Add the Jerk Marinade to a large bowl or gallon bag. Add the chicken to the marinade and fold to combine. Cover the bowl or seal the bag and refrigerate for at least 4 hour or up to 24 hours.,1
"When ready to fry, rinse off the excess marinade and pat the chicken legs dry using paper towels.�",1
"In two shallow dishes preparing the dredging station. Add the beaten eggs to one dish and the flour to the other. Press the marinate chicken legs into the flour, then the egg, and then back into the flour. Try to keep the exposed chicken bone and clean as possible. Set aside while the oil in preheated.",1
"In a large high-wallet skillet or dutch oven, add the lard and vegetable oil. Heat the frying oil mixture over high heat until it reaches 350 �F. Carefully lower the dredged chicken legs into the oil and fry for 5-8 minutes or until golden brown and cooked through (internal temperature of 175 �F).",1
"Transfer the fried chicken legs to a wire rack to rest momentarily. Meanwhile, combine the chopped peppers, sugar, and spices in a medium heat-proof bowl. Carefully, ladle about 1 cup of the still hot fry oil over the contents of the bowl.",1
"Brush the infused oil over the chicken legs, then serve immediately.�",1
"Remove the membrane from the underside of the ribs, then transfer them to a large rimmed baking sheet lined with plastic wrap.",1
Combine the Jerk Marinade and the oil in a bowl.�,1
Evenly coat the ribs in the marinade then wrap tightly in plastic wrap. Refrigerate for at least 4 hours or up to 24 hours.,1
"Preheat the smoker to 225 �F with your choice of fruity wood pellets/chips and optionally, a sprinkling of whole allspice berries.",1
"Wipe off the excess marinade from the ribs, then place them on the grill grate and smoke for 3-6 hours depending on the thickness of the ribs (less time for baby back, more time for st. louis style). Once the ribs have reached an internal temperature of about 180 �F, brush them with the Jerk Barbecue Sauce every 5-10 minutes until they are cooked through (internal temperature 190�F - 200 �F).",1
Serve immediately.�,1
"In a medium saucepan, combine all the ingredients and bring to a simmer over medium-low heat. Reduce heat to low and cook, stirring frequently, until flavors have combined, 15 to 20 minutes. Add more water if the sauce becomes too thick, or cook down to a thicker consistency if too thin.�",1
Reserve until ready to use or refrigerate for up to 2 weeks.,1
Add all grinder pieces to a sheet tray and place in the freezer. Allow the equipment to freeze for 1 hour before use.�,1
"Line a second sheet tray with parchment and add the cubed wild boar and fat. Freeze for 20-30 minutes, or until very firm, but not frozen solid.�",1
"While the meat is freezing, add hog casings to a large mixing bowl and soak in cold water for 30 minutes. Drain, then flush casings with fresh water and set aside until ready to use.�",1
Grind the meat/fat mixture using the largest setting/plate into a large bowl. Place the ground meat in the refrigerator while you prepare the spice mix.�,1
"In a medium mixing bowl, combine the onion, � cup stock and spices. Using a rubber spatula, stir to combine. Add spiced onion mixture to ground meat and combine gently using gloved-hands. Add additional stock if the mix seems too dry; the mixture should be soft, but not loose. Once mixed, fry a small amount in a skillet to taste for seasoning and adjust as needed.�",1
"Thread the sausage casing onto the meat extruder attachment. Fill the casing with the meat mixture, creating one long ring of sausage. Roll the sausage into a large coil, then puncture the sausage all over using a cocktail pick or large needle. Place the sausage on a sheet tray and refrigerate while you set up your fire.�",1
"Build a small fire in a fire pit and create direct and indirect heat zones. Place a rack over the fire pit and place the sausage over the indirect heat zone. Aim for the temperature to always be between 130�-160�F. If the fire becomes too hot, move the sausage as far away from the heat source as possible. Place a small aluminum pan filled with water next to the sausage. Cover with a large metal bowl and smoke until the internal temperature reaches 165�F, 45 minutes - 1 � hours.�",1
"Remove the sausage and transfer to a cooling rack placed in a sheet tray. Place in the refrigerator and allow to cool completely until ready to serve, up to 3 days.�",1
"When ready to serve, build a medium fire in a fire pit. Place a rack over the fire pit and place the sausage coil directly over the fire. Sear the sausage for 7-10 minutes per side, then allow the sausage to rest for 30 minutes before serving.���",1
Newsletter,0
Recipes,0
My story,0
Contact,0
Newsletter,0
Recipes,0
My story,0
Contact,0
Published23.02.21,0
Updated 21.03.24,0
ByVidar Bergum,0
"250 g strong white bread flour, plus extra to bake",0
� tsp sugar,0
"3 g instant (fast action) dried yeast, or 12 g fresh yeast",0
"160 ml water, room temperature or colder",0
5 g salt,0
� Tbsp olive oil,0
"250 g tomato, halved",0
75 g onion,0
"2 garlic cloves, peeled",0
30 g flat-leaf parsley,0
"200 g minced lamb, or a mixture of lamb or beef",0
Newsletter,0
Recipes,0
My story,0
Contact,0
Newsletter,0
Recipes,0
My story,0
Contact,0
Published23.02.21,0
Updated 21.03.24,0
ByVidar Bergum,0
"250 g strong white bread flour, plus extra to bake",0
 tsp sugar,0
"3 g instant (fast action) dried yeast, or 12 g fresh yeast",0
"160 ml water, room temperature or colder",0
5 g salt,0
 Tbsp olive oil,0
"250 g tomato, halved",0
75 g onion,0
"2 garlic cloves, peeled",0
30 g flat-leaf parsley,0
"200 g minced lamb, or a mixture of lamb or beef",0
"1 Tbsp Turkish hot red pepper paste (ac biber salas), or 2-3 tsp pul biber (Aleppo pepper)",0
1 Tbsp tomato paste,0
 tsp salt,0
 tsp freshly ground black pepper,0
a few lemon wedges,0
"1 bunch flat-leaf parsley, thick stems discarded",0
"2 medium tomato, sliced and sprinkled with a little salt",0
pul biber (Aleppo pepper),0
pickled chilis or other pickles,0
"Mix 160 g of the flour with the sugar, yeast and water until it forms a wet dough. Cover and leave until doubled in size, 1-2 hours.",1
"Add the rest of the flour, the salt and the olive oil. Using a kitchen machine, knead on medium/high speed until smooth and elastic. This usually takes 5-10 minutes, but can vary significantly. Make sure your dough doesnt get hotter than your body temperature  if it does, cover and place in the fridge for 10-15 minutes before continuing. When you can stretch the dough between your fingers until near-transparent before it breaks, its ready. Cover and leave to double in size, around an hour.",1
"Place a pizza stone or baking stone high up in your oven and turn the heat as high as it goes (mine is 300 C). Pizza stones and baking stones need anywhere from 10 minutes to 45 minutes to warm up, depending on the material. If you don't have one, simply preheat the oven to its highest temperature.",1
"When the dough has doubled in size, tip onto a floured surface. Divide into 6-8 equally sized pieces. Shape each piece into a ball by stretching the edges towards the middle repeatedly until you have a firm and smooth surface. Leave the balls to rise a final time, covered and seam-side down, until they have relaxed a little, 15-20 minutes.",1
"Meanwhile, make the topping. Discard the wet core of the tomatoes. Very finely chop the tomatoes, onion, garlic and flat-leaf parsley until completely mixed. I use a kitchen machine for this. If the mixture looks very wet, drain some of the liquid. Add the mixture to a bowl along the minced meat, red pepper paste, tomato paste, salt and pepper.",1
"Roll out each piece of dough to a very thin disc. Place it on a floured pizza peel. You can also place it on a baking parchment, if you find that easier. Using your fingers, add a thin layer of the topping mixture to cover the entire flatbread fairly evenly. Dont worry if there are spots with very little topping. This is normal for lahmacun!",1
"Bake one or two lahmacun at the time until crispy and golden at the edges, 3-8 minutes, depending on your oven heat and whether you are using a pizza stone or baking stone. If you dont have one, bake on a regular baking sheet towards the bottom of the oven for 2-4 minutes. Then move it to the top of the oven to finish off, usually another 2-4 minutes.",1
Serve immediately with your condiments of choice.,1
Read 8 comments,0
Save,0
Pin,0
Email,0
Newsletter,0
Recipes,0
My story,0
Contact,0
Yeast: I use Platinum Yeast from Red Star. I have the best results when I use this instant yeast. The Platinum yeast is fantastic because its careful formula strengthens your dough and makes making working with yeast simple. You only need 1 standard packet of yeast (2 and 1/4 teaspoons) to get the job done.,0
"Water: I tested this pizza dough recipe with different amounts of water. 1 and 1/3 cups is the perfect amount. Use warm water to cut down on rise time, about 100-110F. Anything over 130F kills the yeast.",0
"Flour: Use unbleached all-purpose white flour in this recipe. Bleaching the flour strips away some of the protein, which will affect how much water the flour absorbs. You can substitute bread flour for a chewier pizza crust. If you love whole grain bread, try this whole wheat pizza dough instead.",0
"Oil: A couple Tablespoons of extra virgin olive oil adds wonderful flavor to the dough. Dont forget to brush the dough with olive oil before adding the toppings, which prevents the crust from tasting soggy.",0
Salt: Salt adds necessary flavor.,0
"Sugar: 1 Tablespoon of sugar increases the yeasts activity and tenderizes the dough, especially when paired with a little olive oil.",0
"Cornmeal: Cornmeal isnt in the dough, but its used to dust the pizza pan. Cornmeal gives the pizza crust a little extra flavor and crisp. Most delivery pizzas you enjoy have cornmeal on the bottom crust!",0
"Whisk the warm water, yeast, and granulated sugar together in the bowl of your stand mixer fitted with a dough hook or paddle attachment. Cover and allow to rest for 5 minutes. *If you dont have a stand mixer, simply use a large mixing bowl and mix the dough with a wooden spoon or silicone spatula in the next step.",1
"Add the olive oil, salt, and flour. Beat on low speed for 2 minutes.",1
"Knead the dough: Keep the dough in the mixer and beat for an additional 5 full minutes, or knead by hand on a lightly floured surface for 5 full minutes. (If youre new to bread-baking, my How to Knead Dough video tutorial can help here.) If the dough becomes too sticky during the kneading process, sprinkle 1 teaspoon of flour at a time on the dough or on the work surface/in the bowl to make a soft, slightly tacky dough. Do not add more flour than you need because you do not want a dry dough. After kneading, the dough should still feel a little soft. Poke it with your fingerif it slowly bounces back, your dough is ready to rise. You can also do a windowpane test to see if your dough has been kneaded long enough: tear off a small (roughly golfball-size) piece of dough and gently stretch it out until its thin enough for light to pass through it. Hold it up to a window or light. Does light pass through the stretched dough without the dough tearing first? If so, your dough has been kneaded long enough and is ready to rise. If not, keep kneading until it passes the windowpane test.",1
"Rise: Lightly grease a large bowl with oil or nonstick sprayjust use the same bowl you used for the dough. Place the dough in the bowl, turning it to coat all sides in the oil. Cover the bowl with aluminum foil, plastic wrap, or a clean kitchen towel. Allow the dough to rise at room temperature for 60-90 minutes or until double in size. (Tip: For the warm environment on a particularly cold day, heat your oven to 150F (66C). Turn the oven off, place the dough inside, and keep the door slightly ajar. This will be a warm environment for your dough to rise. After about 30 minutes, close the oven door to trap the air inside with the rising dough. When its doubled in size, remove from the oven.)",1
"Preheat oven to 475F (246C). Allow it to heat for at least 15-20 minutes as you shape the pizza. (If using a pizza stone, place it in the oven to preheat as well.) Lightly grease baking sheet or pizza pan with nonstick spray or olive oil. Sprinkle lightly with cornmeal, which gives the crust extra crunch and flavor.",1
"Shape the dough: When the dough is ready, punch it down to release any air bubbles. Divide the dough in half. (If not making 2 pizzas, freeze half of the dough for another time. See freezing instructions below.) On a lightly floured work surface using lightly floured hands or rolling pin, gently flatten the dough into a disc. Place on prepared pan and, using lightly floured hands, stretch and flatten the disc into a 12-inch circle, about 1/2-inch thick. If the dough keeps shrinking back as you try to stretch it, stop what youre doing, cover it lightly for 5-10 minutes, then try again. Once shaped into a 12-inch circle, lift the edge of the dough up to create a lip around the edges. I simply pinch the edges up to create the rim. If using a pizza stone, place the dough directly on bakers peels dusted with cornmeal.",1
"Cover dough lightly with plastic wrap or a clean kitchen towel and allow to rest for a few minutes as you prepare your pizza toppings. I suggest pepperoni & green peppers or jalapeo slices, extra cheese pizza, Hawaiian pizza, pesto pizza, spinach artichoke white pizza, or homemade BBQ chicken pizza.",1
"Top & bake the pizza: Using your fingers, push dents into the surface of the dough to prevent bubbling. To prevent the filling from making your pizza crust soggy, brush the top lightly with olive oil. Top with your favorite toppings and bake for 13-15 minutes or until the crust is golden brown.",1
Slice hot pizza and serve immediately. Cover leftover pizza tightly and store in the refrigerator. Reheat as you prefer. Baked pizza slices can be frozen up to 3 months.,1
"Freezing Instructions: This recipe yields enough dough for two 12-inch pizzas, a little less than 2 pounds total. After the pizza dough rises and you divide the dough in half (step 5), you can freeze one of the balls of dough to make pizza at a later time. Or you can simply freeze both balls of dough separately. Lightly coat all sides of the dough ball(s) with nonstick spray or olive oil. Place the dough ball(s) into individual zipped-top bag(s) and seal tightly, squeezing out all the air. Freeze for up to 3 months. To thaw, place the frozen pizza dough in the refrigerator for about 8 hours or overnight. When ready to make pizza, remove the dough from the refrigerator and allow to rest for 1 hour on the counter. Preheat the oven and continue with step 5, punching down the dough to release air if needed.",1
"Overnight/All Day Instructions: Prepare the dough through step 3, but allow the dough to rise for 8-12 hours in the refrigerator. (If it needs to be in the refrigerator for longer, use cooler water in the dough which will slow the doughs rise and allow for more time.) The slow rise gives the pizza dough wonderful flavor! When ready, continue with step 4. If the dough didnt quite double in size overnight, let it sit at room temperature for 30-45 minutes before punching down (step 5).",1
Special Tools (affiliate links): Stand Mixer or Large Mixing Bowl and Wooden Spoon or Silicone Spatula | Dough Scraper | Pizza Pan or Baking Sheet | Pastry Brush | Pizza Cutter,1
Yeast: Red Star Platinum yeast is an instant yeast. You can use active dry yeast instead. The rise time will be at least 90 minutes. Reference my Baking with Yeast Guide for answers to common yeast FAQs.,1
"Pictured Pizza: This recipe yields 2 pizzas. For each, top with 1/2 cup pizza sauce, 2 cups shredded mozzarella cheese, pepperoni slices, thinly sliced green pepper or jalapeo, and a sprinkle of Italian seasoning blend or dried basil.",1
"L scoggins says: May 18, 2024 Can I pre bake crust for a make your own pizza dinner party?Reply Trina @ Sally's Baking Recipes says: May 18, 2024 Hi L, we havent tested it, but you could try par baking the pizza dough for 5-8 minutes.Reply",0
"Trina @ Sally's Baking Recipes says: May 18, 2024 Hi L, we havent tested it, but you could try par baking the pizza dough for 5-8 minutes.Reply",0
"Freida Claxton says: May 17, 2024 Absolutely delicious!This recipe is pizza perfection!!Reply",0
"Viki T says: May 17, 2024 This his is by far my favorite pizza dough! It is easy to make and proof in the bowl. Then is soft enough to form into a great pan pizza!Reply",0
"Yasin says: May 15, 2024 I aint gon lie he wasnt so specific but if you have common sense this comes out so good ! Just tried the recipe today I love itReply",0
"Sara says: May 15, 2024 We make homemade pizzas every Friday night at our house! I use this recipe on a weekly basis. It rises amazingly in the oven!Reply",0
"Jen says: May 15, 2024 How long can frozen dough thaw and keep in the refrigerator? I used this dough in my classroom and froze half for a later date. I wanted to make pepperoni rolls on a Monday, but that would mean thawing the dough over the weekend in the refrigerator. Would that be ok? How many days can it rest in the refrigerator? Thank you.Reply Lexi @ Sally's Baking Recipes says: May 15, 2024 Hi Jen, we dont recommend much more than overnight (no more than 24 hours) for thawing the pizza dough.Reply",0
"Lexi @ Sally's Baking Recipes says: May 15, 2024 Hi Jen, we dont recommend much more than overnight (no more than 24 hours) for thawing the pizza dough.Reply",0
"David Parker says: May 14, 2024 Great recipe, may home made pizzas turned out great, but what can I do about the dough being so sticky when starting to knead? The dough literally sticks to my hand, and I end up adding quite a bit of flour to my hands and work surface. Should I experiment by adding more flour to the original recipe? I use strong Bread flour.Reply Trina @ Sally's Baking Recipes says: May 14, 2024 Hi David! You can add a little more flour if needed.Reply",0
"Trina @ Sally's Baking Recipes says: May 14, 2024 Hi David! You can add a little more flour if needed.Reply",0
"Ryan Williams says: May 11, 2024 Thank you so much this is my first time making pizza I love learning how to cook!Reply",0
"Todd R says: May 10, 2024 Doent work. Made it twice and even though the dough rises, it comes out flat and uncooked lookingReply Trina @ Sally's Baking Recipes says: May 10, 2024 Hi Todd, did the dough collapse when baking? That can be an indication of over-proofing the dough (letting it rise too long).Reply",0
"Trina @ Sally's Baking Recipes says: May 10, 2024 Hi Todd, did the dough collapse when baking? That can be an indication of over-proofing the dough (letting it rise too long).Reply",0
